Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2002,"255,598","195,033","238,094","177,529","230,546","169,981","63,242","60,565","55,799","52,948","48,146","4,802","4,766","14,342","7,149","4,097","7,193","1,085","6,108","16,519","14,957",566,"1,154","37,662","34,533","32,836","2,114","14,467","12,471","17,504","10,344","7,468","1,987","3,594",677,"1,463","1,294","5,394","1,739",896,"1,971","30,066","14,536","5,314","9,222","15,530","13,164","2,366","7,782","3,096","2,042","1,054",870,"15,901","9,912","2,826","25,052","21,704","10,242"
Feb. 2002,"253,086","190,149","236,382","173,445","228,084","165,147","64,043","62,937","58,319","54,817","49,591","5,226","4,618","13,916","7,091","4,112","6,825","1,036","5,789","15,999","14,458",553,"1,094","35,215","32,024","30,391","2,109","13,995","11,952","16,704","11,730","7,971","2,159","3,849",653,"1,655","1,989","4,483","1,763",966,"1,000","30,877","15,102","5,701","9,401",15775,"13,396","2,379","7,905","3,037","1,734","1,303",793,"14,323","8,925","2,303","25,002","21,637","10,282"
Mar. 2002,"285,261","215,490","265,428","195,657","257,133","187,362","73,116","69,771","64,656","60,116","54,904","5,212","5,115","15,029","7,777","4,448","7,252","1,152","6,100","19,179","16,873",631,"1,292","39,485","35,863","34,034","2,366","15,040","12,802","19,833","13,977","10,178","2,779","5,054",749,"2,073","1,600","5,214","2,167","1,186","1,008","35,941","17,916","6,940","10,976",18025,"15,287","2,738","7,974","2,955","1,722","1,233",812,"15,690","9,670","2,197","28,128","24,344","11,714"
Apr. 2002,"284,747","213,955","263,641","192,849","257,357","186,565","69,137","70,792","65,420","60,242","54,982","5,260","5,372","13,882","7,370","4,110","6,512","1,160","5,352","24,464","20,038",709,"1,534","36,629","33,190","31,360","2,300","14,865","12,627","21,106","13,195","9,517","2,680","4,725",673,"1,943","1,614","4,958","2,157","1,014",966,"34,282","17,156","6,539","10,617","17,126","14,467","2,659","8,079","2,820","1,616","1,204",782,"15,105","9,684","1,746","27,390","23,605","11,529"
May 2002,"300,402","228,248","278,174","206,020","271,682","199,528","74,799","72,154","66,622","61,020","55,678","5,342","5,532","15,047","7,991","4,403","7,056","1,194","5,862","25,657","20,917",760,"1,685","40,390","36,478","34,485","2,569","15,395","13,143","22,228","14,150","9,882","2,755","4,980",700,"2,026","2,105","5,215","2,141","1,078","1,116","37,336","18,339","7,030","11,309","18,997","16,085","2,912","8,965","3,051","1,567","1,484",749,"15,145","9,713","1,571","28,720","24,811","12,021"
Jun. 2002,"288,854","217,787","267,188","196,121","260,385","189,318","72,042","71,067","65,644","60,575","55,376","5,199","5,423","14,591","7,502","4,150","7,089","1,209","5,880","23,283","19,357",737,"1,600","38,715","34,933","32,932","2,486","14,424","12,303","21,666","13,210","9,530","2,478","4,952",710,"1,899","1,655","5,194","2,276","1,065","1,045","36,269","17,449","6,540","10,909","18,820","16,024","2,796","8,326","2,778","1,403","1,375",765,"13,640","8,969","1,306","28,469","24,606","11,986"
Jul. 2002,"295,433","219,025","272,452","196,044","266,795","190,387","70,434","76,408","70,738","65,824","60,595","5,229","5,670","14,716","7,671","4,150","7,045","1,285","5,760","22,545","19,721",790,"1,555","39,773","35,885","33,849","2,568","14,884","12,644","22,981","12,873","9,338","2,260","5,033",640,"1,869","1,542","5,150","2,177","1,103","1,038","34,750","16,449","6,080","10,369","18,301","15,619","2,682","8,407","2,945","1,531","1,414",783,"14,308","9,478","1,399","28,638","24,997","12,187"
Aug. 2002,"307,256","227,673","284,125","204,542","277,716","198,133","78,050","79,583","73,817","69,228","63,686","5,542","5,766","15,755","8,205","4,371","7,550","1,204","6,346","21,540","19,365",788,"1,467","39,918","36,025","34,044","2,595","15,060","12,784","23,131","15,113","10,804","2,538","5,841",673,"2,440","1,733","6,184","2,384","1,087","1,797","37,482","18,307","7,020","11,287","19,175","16,358","2,817","9,083","3,516","2,012","1,504",811,"14,867","9,845","1,510","29,540","25,724","12,430"
Sep. 2002,"273,189","208,039","251,811","186,661","246,350","181,200","68,301","65,150","60,031","56,437","51,582","4,855","5,119","14,231","7,456","4,047","6,775","1,111","5,664","20,167","18,240",705,"1,322","37,068","33,610","31,689","2,297","14,432","12,393","21,378","12,445","9,139","2,373","4,700",624,"1,694","1,492","5,419","1,998","1,048","1,490","33,120","15,831","6,186","9,645","17,289","14,713","2,576","8,222","3,086","1,778","1,308",742,"14,718","9,678","1,599","26,839","22,920","11,226"
Oct. 2002,"287,540","221,211","265,275","198,946","259,945","193,616","73,606","66,329","60,823","57,414","52,271","5,143","5,506","14,809","7,859","4,182","6,950","1,157","5,793","21,694","19,474",744,"1,403","38,461","34,885","32,973","2,401","15,298","13,143","22,265","14,006","10,461","2,531","5,638",728,"1,778","1,651","5,173","1,897","1,347",997,"36,322","17,523","6,815","10,708","18,799","15,895","2,904","8,743","3,296","1,764","1,532",761,"16,845","10,738","2,083","27,595","23,567","11,483"
Nov. 2002,"290,705","230,116","269,818","209,229","263,738","203,149","85,664","60,589","55,631","52,483","47,747","4,736","4,958","17,191","8,839","4,677","8,352","1,228","7,124","19,520","17,593",597,"1,398","39,501","35,649","33,812","2,601","14,934","12,901","20,887","15,911","11,703","2,740","6,529",751,"1,880","2,193","6,697","2,133","2,468","1,059","42,500","21,076","8,650","12,426","21,424","18,153","3,271","8,434","3,365","1,701","1,664",753,"17,574","11,412","2,314","26,967","23,141","11,177"
Dec. 2002,"337,006","273,540","316,070","252,604","308,821","245,355","120,273","63,466","58,689","55,578","51,201","4,377","4,777","22,137","9,528","4,517","12,609","1,384","11,225","17,972","16,191",516,"1,458","42,039","36,738","34,867","3,488","17,189","14,773","20,936","25,350","16,843","3,966","9,394","1,188","2,481","5,770","10,131","3,387","3,651","1,950","57,575","31,059","14,042","17,017","26,516","22,091","4,425","10,863","5,080","2,091","2,989",879,"21,163","14,190","3,127","28,185","24,436","11,678"